"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"B001_01"	"B001_02"	"B001_03"	"B001_04"	"B004_01"	"B004_02"	"B004_03"	"B101_01"	"B101_02"	"B101_03"	"B101_04"	"B104_01"	"B104_02"	"B104_03"	"E001_CP"	"ZG_Reihenfolge"	"SD01"	"SD02_01"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"STATUS"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
271			"00"	"interview"	2025-06-21 10:14:35															2	4			52								9		2025-06-21 10:15:27		F	F	1	1			0.17
272			"00"	"interview"	2025-06-21 10:17:50															2	1			538			14					23		2025-06-21 10:27:02		F	F	4	4			1.51
273			"00"	"interview"	2025-06-21 10:19:20	5	5	5	5	4	4	4								3	2			6	94	109	81	100		37		427		2025-06-21 10:26:27		F	F	7	7	0	0	1.08
274			"00"	"interview"	2025-06-21 10:27:44	4	2	4	2	4	3	3	4	5	5	5	4	5	4	3	1	2	21	3	3	7	32	3	31	38	8	125		2025-06-21 10:29:49		T	F	8	8	0	0	2.28
275			"00"	"interview"	2025-06-21 11:07:09	1	1	1	1	2	4	4	3	1	4	1	4	2	5	3	4	1	19	6227	91	118	86	100	84	39	11	538		2025-06-21 12:59:45		T	F	8	8	0	0	0.78
276			"00"	"interview"	2025-06-21 13:32:02	3	2	3	2	3	2	2	4	5	4	4	4	4	5	3	3	3	20	16	93	10	40	100	53	28	8	348		2025-06-21 13:37:50		T	F	8	8	0	0	1.4
278			"00"	"interview"	2025-06-21 15:23:42	4	2	4	1	3	3	4	1	3	1	3	4	4	3	4	4	1	20	9	89	122	115	102	63	50	8	558		2025-06-21 15:33:00		T	F	8	8	0	0	0.91
280			"00"	"interview"	2025-06-21 21:21:42	2	2	3	2	4	5	3	4	5	3	4	4	3	2	4	2	2	21	5	93	84	16	138	53	57	10	456		2025-06-21 21:29:18		T	F	8	8	0	0	1.27
281			"00"	"interview"	2025-06-22 11:52:24	3	1	3	1	2	2	1	4	4	4	5	4	4	4	5	4	2	18	1	90	115	85	98	98	64	16	506		2025-06-22 12:01:52		T	F	8	8	0	0	1.06
286			"00"	"interview"	2025-06-22 14:20:19	4	4	4	4	3	4	3	2	2	3	2	3	2	3	6	3	1	30	4	98	108	85	98	94	30	14	531		2025-06-22 14:29:10		T	F	8	8	0	0	1.08
288			"00"	"interview"	2025-06-22 15:24:53	3	4	4	4	3	4	4	1	2	1	3	2	4	4	6	1	1	28	3	97	112	108	94	26	55	12	507		2025-06-22 15:33:20		T	F	8	8	0	0	1.21
289			"00"	"interview"	2025-06-22 21:09:59	2	1	2	1	2	2	3	4	5	4	5	5	5	5	7	1	2	21	17	89	106	77	94	18	46	15	462		2025-06-22 21:17:41		T	F	8	8	0	0	1.03
291			"00"	"interview"	2025-06-23 10:19:58	4	3	5	4	5	4	4	3	5	3	4	5	5	5	7	2	2	21	6	75	9	5	111	28	39	8	281		2025-06-23 10:24:39		T	F	8	8	0	0	1.67
292			"00"	"interview"	2025-06-23 10:28:05	2	1	3	2	2	3	2	4	5	5	5	5	5	5	7	4	2	23	5	9	38	23	9	38	28	10	160		2025-06-23 10:30:45		T	F	8	8	0	0	2.12
293			"00"	"interview"	2025-06-23 18:31:30	4	4	4	4	4	3	3	2	2	1	1	3	3	2	8	3	2	24	4	93	107	81	98	30	38	6	457		2025-06-23 18:39:08		T	F	8	8	0	0	1.29
294			"00"	"interview"	2025-06-24 09:14:16															8	2			14								14		2025-06-24 09:14:30		F	F	1	1			0.64
295			"00"	"interview"	2025-06-24 09:15:19	4	4	5	4	3	3	4	4	4	3	2	5	5	5	8	1	1	21	7	21	81	73	13	32	70	9	306		2025-06-24 09:20:25		T	F	8	8	0	0	1.57
300			"00"	"interview"	2025-06-24 12:34:29	2	1	1	3	2	3	2	4	3	4	3	4	4	4	9	2	2	21	40	97	111	81	109	67	108	21	540		2025-06-24 12:45:04		T	F	8	8	0	0	0.67
306			"00"	"interview"	2025-06-25 08:34:37	2	3	2	4	2	2	3	2	4	2	1	3	4	4	11	3	2	21	26	118	111	81	101	55	45	14	551		2025-06-25 08:43:48		T	F	8	8	0	0	0.79
312			"00"	"interview"	2025-06-25 12:52:45	2	2	5	2	2	2	2	4	4	4	4	5	4	4	12	1	2	20	32	5	17	45	13	24	69	14	219		2025-06-25 12:56:24		T	F	8	8	0	0	1.76
313			"00"	"interview"	2025-06-25 13:01:29	1	2	1	2	2	4	3	4	4	3	2	1	3	2	13	3	1	21	4	82	2	56	78	37	24	102	294		2025-06-25 13:07:54		T	F	8	8	0	0	1.5
315			"00"	"interview"	2025-06-25 21:04:00	3	3	4	2	4	4	4	5	5	5	5	5	5	5	13	2	1	22	2	10	4	1	18	11	44	7	97		2025-06-25 21:05:37		T	F	8	8	0	0	2.57
316			"00"	"interview"	2025-06-26 03:20:02	2	1	2	3	3	4	4	5	5	3	4	5	4	3	13	1	2	20	17	9	40	83	4	22	98	12	232		2025-06-26 03:24:50		T	F	8	8	0	0	1.62
317			"00"	"interview"	2025-06-26 08:31:45	2	1	2	1	2	2	2	5	5	5	5	4	4	5	14	4	2	20	16	11	113	85	62	44	30	11	372		2025-06-26 08:37:57		T	F	8	8	0	0	1.28
318			"00"	"interview"	2025-06-27 14:34:03	4	4	4	4	4	4	4	2	2	2	2	2	2	2	14	2	2	21	11	94	33	145	22	33	48	8	394		2025-06-27 14:40:38		T	F	8	8	0	0	1.45
